"nome_cientifico","listavermelha","port443","inmma2014","port561","portmma_148_2022","volume","uf","ano"
apuleia leiocarpa,VU,VU,,VU,VU,10503.066499999999994704,AC,2018.0
apuleia leiocarpa,VU,VU,,VU,VU,12282.18760000000001798,AC,2010.0
apuleia leiocarpa,VU,VU,,VU,VU,58112.6316999999999929,PA,2019.0
ocotea odorifera,EN,EN,,EN,EN,60.048,MT,2007.0
peltogyne paradoxa,,,,,VU,1617.8680,RO,2017.0
apuleia leiocarpa,VU,VU,,VU,VU,8.873,RR,2013.0
pouteria macrocarpa,VU,,,,,44.21,MT,2018.0
vouacapoua americana,EN,EN,,EN,EN,28.428999999999999,RO,2019.0
eriotheca longipedicellata,,,,,VU,157.319,RO,2012.0
tabebuia cassinoides,EN,EN,,EN,VU,386.590,MT,2006.0
mezilaurus itauba,VU,VU,,VU,VU,239.8049999999999981,AC,2009.0
hymenolobium excelsum,VU,VU,,VU,VU,14739.8213000000000087,PA,2020.0
euxylophora paraensis,CR,CR,,CR,EN,159.558,RO,2017.0
virola surinamensis,VU,VU,,VU,VU,15411.1067,PA,2012.0
erisma fuscum,,,,,EN,41.4487,PA,2017.0
hymenaea parvifolia,VU,VU,,VU,VU,1884.9563000000000012,RO,2020.0
mezilaurus itauba,VU,VU,,VU,VU,162.8279999999999944,AP,2016.0
cedrela fissilis,VU,VU,VU,VU,VU,71.350,MT,2016.0
hymenaea parvifolia,VU,VU,,VU,VU,3207.5505000000000210,AM,2014.0
cedrela odorata,VU,VU,VU,VU,VU,14431.6973,PA,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,1781.0504000000000063,AM,2010.0
ocotea fragrantissima,,,,,EN,14.73,PA,2008.0
vochysia eximia,,,,,VU,329.9868,PA,2019.0
amburana acreana,VU,VU,,,VU,4001.04449999999999742,AC,2017.0
hymenolobium excelsum,VU,VU,,VU,VU,5257.00820000000001456,AM,2011.0
hymenaea parvifolia,VU,VU,,VU,VU,2478.6080999999999975,PA,2017.0
xylopia brasiliensis,,,,,VU,178.205,RO,2014.0
couratari pyramidata,EN,EN,,,EN,624.51,MT,2014.0
bertholletia excelsa,VU,VU,,VU,VU,3328.6788,PA,2011.0
hymenaea parvifolia,VU,VU,,VU,VU,2166.5367000000000037,RO,2019.0
couratari pyramidata,EN,EN,,,EN,1699.528,MT,2013.0
eriotheca longipedicellata,,,,,VU,327.5992,PA,2020.0
cariniana legalis,EN,EN,,EN,EN,710.00,RO,2006.0
hymenolobium excelsum,VU,VU,,VU,VU,20413.3910,MT,2014.0
amburana acreana,VU,VU,,,VU,591.13810000000000652,AM,2009.0
cariniana legalis,EN,EN,,EN,EN,2878.4896,MT,2016.0
vouacapoua americana,EN,EN,,EN,EN,11.057,AM,2008.0
hymenolobium excelsum,VU,VU,,VU,VU,29885.2567,MT,2013.0
paratecoma peroba,EN,EN,,EN,EN,100.000,MT,2007.0
peltogyne paradoxa,,,,,VU,452.3972,RO,2018.0
eriotheca longipedicellata,,,,,VU,935.7770,PA,2008.0
lafoensia glyptocarpa,,,,,EN,320.580,MT,2019.0
bertholletia excelsa,VU,VU,,VU,VU,41.31,RO,2013.0
cedrela odorata,VU,VU,VU,VU,VU,55.183,RO,2007.0
peltogyne paradoxa,,,,,VU,30.6959999999999999,AC,2017.0
eriotheca longipedicellata,,,,,VU,6.985,AC,2009.0
peltogyne paradoxa,,,,,VU,46.5255,AM,2010.0
cedrela fissilis,VU,VU,VU,VU,VU,285.5760000000000003,RO,2019.0
eriotheca longipedicellata,,,,,VU,381.4178999999999998,AC,2018.0
lafoensia glyptocarpa,,,,,EN,2399.55860000000002,PA,2019.0
vochysia mapuerae,,,,,VU,42.33,PA,2010.0
virola surinamensis,VU,VU,,VU,VU,140.406,RO,2019.0
mezilaurus itauba,VU,VU,,VU,VU,188299.61019999999999462,MT,2015.0
hymenolobium excelsum,VU,VU,,VU,VU,25758.244999999999999,MT,2018.0
bertholletia excelsa,VU,VU,,VU,VU,4.6137,PA,2015.0
peltogyne paradoxa,,,,,VU,629.897900000000000,AM,2019.0
qualea magna,EN,EN,,,EN,350.847,MT,2016.0
amburana acreana,VU,VU,,,VU,7129.94189999999999327,AC,2012.0
hymenolobium excelsum,VU,VU,,VU,VU,934.0849000000000062,AC,2016.0
ocotea fragrantissima,,,,,EN,2.9060000000000001,RR,2010.0
peltogyne paradoxa,,,,,VU,205.821,MT,2017.0
swietenia macrophylla,VU,VU,CR,VU,VU,386.791999999999998,AC,2014.0
buchenavia parvifolia,,VU,,,,3364.2550,PA,2010.0
ocotea fragrantissima,,,,,EN,39.7550,PA,2011.0
hymenolobium excelsum,VU,VU,,VU,VU,1998.54569999999999590,AC,2010.0
vochysia mapuerae,,,,,VU,4.15,RO,2017.0
cedrela odorata,VU,VU,VU,VU,VU,1553.0731000000000000,AM,2015.0
erisma fuscum,,,,,EN,995.4456,RO,2014.0
qualea magna,EN,EN,,,EN,38.59,MT,2011.0
virola surinamensis,VU,VU,,VU,VU,57.0860000000000002,AM,2010.0
apuleia leiocarpa,VU,VU,,VU,VU,7861.61589999999997679,AC,2016.0
euxylophora paraensis,CR,CR,,CR,EN,7744.4228,PA,2012.0
eriotheca longipedicellata,,,,,VU,67.775,AM,2014.0
amburana acreana,VU,VU,,,VU,7602.885200000000004201,RO,2019.0
aniba rosaeodora,EN,EN,CR,EN,,157.261,MT,2007.0
hymenaea parvifolia,VU,VU,,VU,VU,246.0677999999999999,PA,2010.0
swietenia macrophylla,VU,VU,CR,VU,VU,56.543,AC,2012.0
ocotea fragrantissima,,,,,EN,5.085,RO,2013.0
cariniana legalis,EN,EN,,EN,EN,11.670,AC,2009.0
mezilaurus itauba,VU,VU,,VU,VU,377.998,RR,2016.0
virola surinamensis,VU,VU,,VU,VU,24.605,AP,2017.0
cariniana legalis,EN,EN,,EN,EN,884.801,MT,2010.0
apuleia leiocarpa,VU,VU,,VU,VU,717.0230000000000030,AM,2019.0
xylopia brasiliensis,,,,,VU,25.9166,MT,2020.0
peltogyne paradoxa,,,,,VU,2108.3240,RO,2016.0
hymenolobium excelsum,VU,VU,,VU,VU,17377.565200000000002,PA,2015.0
apuleia leiocarpa,VU,VU,,VU,VU,143279.6056000000000000,MT,2014.0
couratari asterotricha,EN,EN,,,EN,588.5764,PA,2016.0
erisma fuscum,,,,,EN,394.9094,RO,2018.0
lafoensia glyptocarpa,,,,,EN,34.7630000000000011,AC,2010.0
peltogyne paradoxa,,,,,VU,1.517,AP,2008.0
pradosia kuhlmannii,EN,EN,,,EN,501.7635,PA,2011.0
amburana acreana,VU,VU,,,VU,647.8350000000000107,AM,2018.0
virola surinamensis,VU,VU,,VU,VU,4178.3263,PA,2014.0
vochysia rufescens,,,,,VU,4471.7848,MT,2015.0
eriotheca longipedicellata,,,,,VU,3779.6134,PA,2009.0
peltogyne paradoxa,,,,,VU,64.452999999999997,AM,2012.0
vochysia rufescens,,,,,VU,579.3897,MT,2012.0
apuleia leiocarpa,VU,VU,,VU,VU,106.668,RR,2016.0
virola surinamensis,VU,VU,,VU,VU,65.152,RR,2010.0
eriotheca longipedicellata,,,,,VU,1507.2249,PA,2012.0
cedrela odorata,VU,VU,VU,VU,VU,4634.94260000000000639,AC,2014.0
peltogyne maranhensis,VU,VU,,,VU,44.5063,PA,2017.0
lafoensia glyptocarpa,,,,,EN,1351.6265,PA,2015.0
vismia parviflora,,,,,EN,26.0419999999999987,RO,2020.0
xylopia brasiliensis,,,,,VU,465.4480,PA,2007.0
vismia parviflora,,,,,EN,38.5378,RO,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,2065.5507000000000007,RO,2018.0
peltogyne paradoxa,,,,,VU,1500.905999999999993,RO,2020.0
euxylophora paraensis,CR,CR,,CR,EN,45.6296,RO,2014.0
couratari asterotricha,EN,EN,,,EN,536.5018,RO,2011.0
virola surinamensis,VU,VU,,VU,VU,3060.7610,PA,2009.0
peltogyne paradoxa,,,,,VU,30.025000000000001,AM,2007.0
eschweilera compressa,EN,EN,,,EN,137.516,RO,2007.0
vismia parviflora,,,,,EN,415.203,RO,2011.0
ocotea fragrantissima,,,,,EN,587.8130000000000039,RR,2007.0
hymenolobium excelsum,VU,VU,,VU,VU,20.825,AP,2017.0
erisma fuscum,,,,,EN,6.5319999999999997,AP,2012.0
cedrela odorata,VU,VU,VU,VU,VU,237.537,RR,2008.0
hymenolobium excelsum,VU,VU,,VU,VU,843.51720000000000223,AC,2019.0
swietenia macrophylla,VU,VU,CR,VU,VU,16.9490,PA,2014.0
euxylophora paraensis,CR,CR,,CR,EN,1.254,MT,2018.0
amburana acreana,VU,VU,,,VU,7834.42020000000001237,AC,2011.0
vochysia mapuerae,,,,,VU,18.6510,PA,2009.0
virola surinamensis,VU,VU,,VU,VU,18568.8227999999999866,PA,2020.0
cedrela odorata,VU,VU,VU,VU,VU,4384.49159999999998914,AC,2016.0
pterodon apparicioi,,,,,EN,25.31,RO,2019.0
peltogyne paradoxa,,,,,VU,210.286,MT,2019.0
cedrela odorata,VU,VU,VU,VU,VU,13050.611299999999997,MT,2018.0
lafoensia glyptocarpa,,,,,EN,16.193,MT,2016.0
peltogyne paradoxa,,,,,VU,55.221,AC,2007.0
hymenaea parvifolia,VU,VU,,VU,VU,785.489999999999997,AM,2007.0
sloanea froesii,,,,,VU,95,PA,2011.0
manilkara bella,EN,,,,,333.777,MT,2018.0
cedrela odorata,VU,VU,VU,VU,VU,15235.9869,MT,2020.0
apuleia leiocarpa,VU,VU,,VU,VU,33094.3904000000000083,PA,2016.0
pouteria macrocarpa,VU,,,,,248.998,MT,2015.0
euxylophora paraensis,CR,CR,,CR,EN,2115.2020,MT,2007.0
buchenavia parvifolia,,VU,,,,8.1660,RO,2011.0
paratecoma peroba,EN,EN,,EN,EN,26.314,RR,2009.0
amburana acreana,VU,VU,,,VU,3756.20069999999998898,AC,2014.0
aldina heterophylla,,,,,VU,20.0000,PA,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,137.6050000000000035,AC,2018.0
swietenia macrophylla,VU,VU,CR,VU,VU,1278.0374999999999965,AC,2018.0
sloanea froesii,,,,,VU,63.5021,PA,2014.0
ocotea fragrantissima,,,,,EN,7.330,RO,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,6716.2972000000000088,AM,2013.0
hymenaea parvifolia,VU,VU,,VU,VU,4650.9551,MT,2020.0
peltogyne paradoxa,,,,,VU,1179.6786,RO,2011.0
cedrela fissilis,VU,VU,VU,VU,VU,53.3413,PA,2018.0
cariniana legalis,EN,EN,,EN,EN,841.4670,PA,2007.0
hymenolobium excelsum,VU,VU,,VU,VU,1781.65599999999999346,AC,2008.0
pradosia kuhlmannii,EN,EN,,,EN,745.6441,PA,2013.0
mezilaurus itauba,VU,VU,,VU,VU,138527.5014,MT,2020.0
mezilaurus itauba,VU,VU,,VU,VU,446.59400000000000753,AP,2008.0
cariniana legalis,EN,EN,,EN,EN,104.685,RO,2020.0
buchenavia parvifolia,,VU,,,,238.5310,PA,2015.0
qualea magna,EN,EN,,,EN,596.2908,MT,2010.0
cedrela odorata,VU,VU,VU,VU,VU,6458.8703,RO,2012.0
amburana acreana,VU,VU,,,VU,15666.93539999999999,MT,2011.0
mezilaurus itauba,VU,VU,,VU,VU,739.69949999999999893,AP,2009.0
euxylophora paraensis,CR,CR,,CR,EN,16181.0060,PA,2011.0
euxylophora paraensis,CR,CR,,CR,EN,40.381,MT,2014.0
amburana acreana,VU,VU,,,VU,21906.046499999999987,MT,2012.0
peltogyne paradoxa,,,,,VU,541.5113999999999992,AM,2020.0
buchenavia parvifolia,,VU,,,,772.1048999999999995,PA,2017.0
hymenolobium excelsum,VU,VU,,VU,VU,37063.592199999999996,MT,2017.0
pradosia kuhlmannii,EN,EN,,,EN,1.524,AP,2015.0
eriotheca longipedicellata,,,,,VU,785.8658999999999991,AC,2020.0
eschweilera compressa,EN,EN,,,EN,1309.29499999999999895,AM,2017.0
hymenaea parvifolia,VU,VU,,VU,VU,372.7611,MT,2008.0
centrolobium paraense,EN,EN,,EN,EN,59.349999999999998,AC,2017.0
vouacapoua americana,EN,EN,,EN,EN,3.0,AM,2010.0
vouacapoua americana,EN,EN,,EN,EN,3.0,AM,2007.0
bertholletia excelsa,VU,VU,,VU,VU,5.58,PA,2009.0
eriotheca longipedicellata,,,,,VU,1112.7684000000000010,AC,2013.0
qualea labouriauana,,,,,VU,42.0199,PA,2018.0
amburana acreana,VU,VU,,,VU,11.87,RR,2008.0
peltogyne paradoxa,,,,,VU,1127.2593,PA,2007.0
apuleia leiocarpa,VU,VU,,VU,VU,68924.6444,PA,2011.0
mezilaurus itauba,VU,VU,,VU,VU,543.9700000000000037,RR,2015.0
peltogyne paradoxa,,,,,VU,2557.2586000000000029,RO,2015.0
aldina heterophylla,,,,,VU,26.257,RO,2012.0
aniba rosaeodora,EN,EN,CR,EN,,65.387,MT,2009.0
peltogyne paradoxa,,,,,VU,1308.4714,PA,2017.0
cariniana legalis,EN,EN,,EN,EN,242.5819999999999999,RR,2007.0
eriotheca longipedicellata,,,,,VU,209.995000000000001,RO,2015.0
ocotea catharinensis,VU,VU,,,VU,4.756,MT,2013.0
amburana acreana,VU,VU,,,VU,21918.599999999999980,MT,2013.0
qualea magna,EN,EN,,,EN,17.413,MT,2019.0
cedrela fissilis,VU,VU,VU,VU,VU,55.1047,PA,2017.0
melanoxylon brauna,VU,VU,,,VU,79.9670,PA,2009.0
vochysia mapuerae,,,,,VU,276.47,PA,2016.0
cedrela odorata,VU,VU,VU,VU,VU,60.978,RR,2009.0
apuleia leiocarpa,VU,VU,,VU,VU,22036.3678000000000104,AC,2020.0
aldina heterophylla,,,,,VU,668.677500000000000,AM,2020.0
ocotea catharinensis,VU,VU,,,VU,71.1970999999999987,RO,2018.0
peltogyne discolor,,,,,VU,27.092,MT,2018.0
lafoensia glyptocarpa,,,,,EN,12.047,RO,2015.0
cedrela odorata,VU,VU,VU,VU,VU,8895.1756,PA,2013.0
mezilaurus itauba,VU,VU,,VU,VU,35820.7366000000000359,PA,2017.0
cedrela odorata,VU,VU,VU,VU,VU,7199.4365,RO,2011.0
hymenolobium excelsum,VU,VU,,VU,VU,585.74099999999999097,RR,2007.0
erisma fuscum,,,,,EN,48.1498000000000004,AP,2017.0
vochysia mapuerae,,,,,VU,14.05,RO,2018.0
cedrela fissilis,VU,VU,VU,VU,VU,617.2277,PA,2019.0
virola surinamensis,VU,VU,,VU,VU,285.1939000000000003,AC,2020.0
vochysia eximia,,,,,VU,119.7822,PA,2012.0
pradosia kuhlmannii,EN,EN,,,EN,399.4856,PA,2008.0
euxylophora paraensis,CR,CR,,CR,EN,533.4461,MT,2008.0
mezilaurus itauba,VU,VU,,VU,VU,11754.3841000000000028,AM,2013.0
cedrela odorata,VU,VU,VU,VU,VU,15302.0495000000000008,MT,2012.0
qualea magna,EN,EN,,,EN,845.503,MT,2014.0
xylopia brasiliensis,,,,,VU,542.8819,PA,2010.0
hymenolobium excelsum,VU,VU,,VU,VU,1894.7423999999999973,AC,2011.0
eriotheca longipedicellata,,,,,VU,442.354,MT,2013.0
aniba rosaeodora,EN,EN,CR,EN,,25.933,MT,2008.0
cedrela odorata,VU,VU,VU,VU,VU,3724.3515999999999921,AM,2017.0
hymenaea parvifolia,VU,VU,,VU,VU,2114.345400000000001,AM,2010.0
eschweilera compressa,EN,EN,,,EN,349.6467,RO,2011.0
euxylophora paraensis,CR,CR,,CR,EN,53.2950000000000005,AC,2007.0
euxylophora paraensis,CR,CR,,CR,EN,2142.1386,MT,2006.0
hymenolobium excelsum,VU,VU,,VU,VU,188.985000000000003,RR,2019.0
euxylophora paraensis,CR,CR,,CR,EN,83.3868,RO,2011.0
erisma fuscum,,,,,EN,58.8517,PA,2012.0
virola surinamensis,VU,VU,,VU,VU,402.6542,RO,2016.0
vochysia eximia,,,,,VU,125.4629,PA,2018.0
hymenaea parvifolia,VU,VU,,VU,VU,3001.3162000000000019,AM,2017.0
cedrela odorata,VU,VU,VU,VU,VU,5411.3465999999999842,AM,2020.0
eriotheca longipedicellata,,,,,VU,15.000,MT,2018.0
cedrela odorata,VU,VU,VU,VU,VU,11727.8940000000000005,MT,2008.0
cedrela odorata,VU,VU,VU,VU,VU,13374.0791,MT,2014.0
virola surinamensis,VU,VU,,VU,VU,6.870,AC,2014.0
euxylophora paraensis,CR,CR,,CR,EN,9.6754,PA,2018.0
virola surinamensis,VU,VU,,VU,VU,319.228,AP,2009.0
aldina heterophylla,,,,,VU,7.3,RO,2013.0
terminalia acuminata,EN,EN,,,EN,443.4640,PA,2007.0
euxylophora paraensis,CR,CR,,CR,EN,20598.8078,PA,2008.0
eschweilera compressa,EN,EN,,,EN,305.7870000000000035,AM,2009.0
mezilaurus itauba,VU,VU,,VU,VU,36.699,RR,2008.0
virola surinamensis,VU,VU,,VU,VU,104.007,AC,2009.0
cedrela odorata,VU,VU,VU,VU,VU,11693.638900000000006,PA,2008.0
peltogyne maranhensis,VU,VU,,,VU,20.000,MT,2014.0
ocotea fragrantissima,,,,,EN,34.27,AM,2014.0
ocotea catharinensis,VU,VU,,,VU,12.8,RO,2014.0
eriotheca longipedicellata,,,,,VU,285.6709999999999982,RO,2018.0
cedrela fissilis,VU,VU,VU,VU,VU,148.6579999999999992,AC,2011.0
mezilaurus itauba,VU,VU,,VU,VU,175685.5618000000000001,MT,2008.0
manilkara bella,EN,,,,,15.9,MT,2015.0
eriotheca longipedicellata,,,,,VU,5543.15409999999999893,AC,2011.0
centrolobium paraense,EN,EN,,EN,EN,39.2951000000000004,AC,2013.0
aldina heterophylla,,,,,VU,144.09,AM,2010.0
euxylophora paraensis,CR,CR,,CR,EN,12004.7916,PA,2010.0
hymenaea parvifolia,VU,VU,,VU,VU,199.5779999999999982,AC,2016.0
mezilaurus itauba,VU,VU,,VU,VU,32952.8307000000000048,PA,2015.0
cedrela fissilis,VU,VU,VU,VU,VU,63.473,RR,2008.0
ocotea fragrantissima,,,,,EN,635.7910000000000041,AM,2009.0
apuleia leiocarpa,VU,VU,,VU,VU,33014.7062,PA,2009.0
mezilaurus itauba,VU,VU,,VU,VU,74677.1567,PA,2014.0
euxylophora paraensis,CR,CR,,CR,EN,41.818,RO,2016.0
mezilaurus itauba,VU,VU,,VU,VU,95807.6021000000000258,PA,2019.0
amburana acreana,VU,VU,,,VU,9420.4013000000000041,RO,2015.0
cedrela odorata,VU,VU,VU,VU,VU,10.0,AP,2014.0
eriotheca longipedicellata,,,,,VU,999.7997,PA,2010.0
eschweilera compressa,EN,EN,,,EN,184.7510,PA,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,1971.4177,RO,2012.0
cariniana legalis,EN,EN,,EN,EN,5744.429800000000001,MT,2019.0
qualea labouriauana,,,,,VU,129.5729,RO,2017.0
euxylophora paraensis,CR,CR,,CR,EN,845.9460000000000065,AP,2017.0
mezilaurus itauba,VU,VU,,VU,VU,8.107000000000001,AP,2007.0
mezilaurus itauba,VU,VU,,VU,VU,7325.5070000000000102,AM,2007.0
euplassa cantareirae,EN,EN,,,EN,41.74,PA,2010.0
peltogyne paradoxa,,,,,VU,2743.5582000000000014,AM,2018.0
virola malmei,,,,,VU,40.9020,PA,2010.0
qualea labouriauana,,,,,VU,241.4408,RO,2019.0
deguelia hatschbachii,,,,,VU,84.5202,RO,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,347.9666,RR,2013.0
eschweilera compressa,EN,EN,,,EN,198.9088999999999997,AM,2011.0
pterodon apparicioi,,,,,EN,37.55,PA,2010.0
hymenaea parvifolia,VU,VU,,VU,VU,2071.1832000000000037,RO,2015.0
hymenolobium excelsum,VU,VU,,VU,VU,23222.2888000000000237,RO,2018.0
peltogyne paradoxa,,,,,VU,1880.980,RO,2012.0
vouacapoua americana,EN,EN,,EN,EN,32163.6193,PA,2014.0
vouacapoua americana,EN,EN,,EN,EN,185.7480,AP,2009.0
hymenaea parvifolia,VU,VU,,VU,VU,811.099999999999998,AM,2008.0
vochysia eximia,,,,,VU,9400.0704,PA,2007.0
hymenaea parvifolia,VU,VU,,VU,VU,2494.3084000000000002,AM,2012.0
eriotheca longipedicellata,,,,,VU,453.9655000000000013,AC,2016.0
vouacapoua americana,EN,EN,,EN,EN,652.382699999999999,RO,2015.0
cedrela fissilis,VU,VU,VU,VU,VU,45.923,RR,2009.0
hymenolobium excelsum,VU,VU,,VU,VU,2399.50979999999999594,AC,2014.0
croton hemiargyreus,,,,,EN,7.4684,PA,2019.0
eriotheca longipedicellata,,,,,VU,1115.0302,PA,2018.0
cedrela odorata,VU,VU,VU,VU,VU,344.7019999999999993,AM,2012.0
cedrela fissilis,VU,VU,VU,VU,VU,31.064,MT,2015.0
buchenavia parvifolia,,VU,,,,3684.0900,PA,2013.0
virola surinamensis,VU,VU,,VU,VU,45.97,MT,2007.0
cedrela fissilis,VU,VU,VU,VU,VU,143.0200,PA,2007.0
apuleia leiocarpa,VU,VU,,VU,VU,1414.913999999999994,AM,2009.0
mezilaurus itauba,VU,VU,,VU,VU,159.39540000000000253,AC,2018.0
mezilaurus itauba,VU,VU,,VU,VU,6342.31650000000001025,AM,2020.0
hymenolobium excelsum,VU,VU,,VU,VU,20264.7988,MT,2015.0
hymenaea parvifolia,VU,VU,,VU,VU,3338.6249000000000046,PA,2018.0
virola surinamensis,VU,VU,,VU,VU,10414.7048,PA,2018.0
eschweilera compressa,EN,EN,,,EN,4755.0949999999999850,AM,2007.0
ocotea odorifera,EN,EN,,EN,EN,0.0003,MT,2008.0
cedrela odorata,VU,VU,VU,VU,VU,16.489,RR,2010.0
sloanea froesii,,,,,VU,98.9128,PA,2015.0
hymenolobium excelsum,VU,VU,,VU,VU,67719.4660,RO,2014.0
cedrela odorata,VU,VU,VU,VU,VU,14721.4223,MT,2013.0
couratari asterotricha,EN,EN,,,EN,293.766,MT,2017.0
eriotheca longipedicellata,,,,,VU,429.7054000000000030,RO,2020.0
euplassa cantareirae,EN,EN,,,EN,166.8426,PA,2018.0
sloanea froesii,,,,,VU,67.8329,PA,2020.0
mezilaurus itauba,VU,VU,,VU,VU,5509.5455000000000115,AM,2009.0
dimorphandra wilsonii,CR,CR,,,EN,10.423,MT,2020.0
pouteria pachycalyx,VU,VU,,,,90.075,MT,2009.0
virola surinamensis,VU,VU,,VU,VU,9.6,AM,2008.0
dimorphandra wilsonii,CR,CR,,,EN,103.9252,PA,2020.0
apuleia leiocarpa,VU,VU,,VU,VU,6643.8246000000000013,RO,2020.0
swietenia macrophylla,VU,VU,CR,VU,VU,6.687,RR,2007.0
euxylophora paraensis,CR,CR,,CR,EN,37.205999999999999,AP,2013.0
cariniana legalis,EN,EN,,EN,EN,73.2850,PA,2014.0
melanoxylon brauna,VU,VU,,,VU,33.984,MT,2007.0
mezilaurus itauba,VU,VU,,VU,VU,102.274999999999997,RO,2007.0
zeyheria tuberculosa,VU,VU,,VU,,34.005,RO,2019.0
qualea coerulea,VU,VU,,,EN,245.4466,PA,2014.0
manilkara bella,EN,,,,,924.383,MT,2017.0
zeyheria tuberculosa,VU,VU,,VU,,0.322,RO,2011.0
cariniana legalis,EN,EN,,EN,EN,2868.9462,MT,2006.0
buchenavia parvifolia,,VU,,,,2892.0218,MT,2013.0
apuleia leiocarpa,VU,VU,,VU,VU,2324.5330,MT,2010.0
swietenia macrophylla,VU,VU,CR,VU,VU,1133.065700000000005,AM,2015.0
qualea magna,EN,EN,,,EN,1118.323,MT,2009.0
cedrela fissilis,VU,VU,VU,VU,VU,610.1259,PA,2011.0
cariniana legalis,EN,EN,,EN,EN,1771.5113,MT,2014.0
eschweilera compressa,EN,EN,,,EN,180.0000,PA,2015.0
euxylophora paraensis,CR,CR,,CR,EN,665.9809000000000025,AM,2009.0
apuleia leiocarpa,VU,VU,,VU,VU,6512.7428,RO,2017.0
hymenaea parvifolia,VU,VU,,VU,VU,1602.724,MT,2014.0
vouacapoua americana,EN,EN,,EN,EN,27734.4195,PA,2013.0
vochysia rufescens,,,,,VU,5187.5200,MT,2018.0
peltogyne paradoxa,,,,,VU,25.2033,AM,2011.0
amburana acreana,VU,VU,,,VU,3868.0226999999999851,AC,2016.0
virola surinamensis,VU,VU,,VU,VU,559.301,MT,2013.0
apuleia leiocarpa,VU,VU,,VU,VU,30336.0192,PA,2007.0
virola surinamensis,VU,VU,,VU,VU,5436.5166,PA,2016.0
dimorphandra wilsonii,CR,CR,,,EN,367.143099999999999,PA,2018.0
peltogyne paradoxa,,,,,VU,5.278,MT,2020.0
eschweilera compressa,EN,EN,,,EN,25.250999999999998,RO,2015.0
croton hemiargyreus,,,,,EN,4.6972,PA,2020.0
mezilaurus itauba,VU,VU,,VU,VU,512.88199999999999935,AP,2017.0
vochysia eximia,,,,,VU,905.3820,PA,2011.0
apuleia leiocarpa,VU,VU,,VU,VU,227.4045000000000025,RR,2015.0
sloanea froesii,,,,,VU,13.3687,PA,2018.0
mezilaurus itauba,VU,VU,,VU,VU,112127.0756999999999711,PA,2020.0
cariniana legalis,EN,EN,,EN,EN,1817.112,MT,2017.0
bertholletia excelsa,VU,VU,,VU,VU,1527.823900000000012,PA,2018.0
cedrela odorata,VU,VU,VU,VU,VU,595.9776000000000022,AM,2013.0
peltogyne paradoxa,,,,,VU,127.453,AM,2008.0
bertholletia excelsa,VU,VU,,VU,VU,58.0,AM,2018.0
apuleia leiocarpa,VU,VU,,VU,VU,3188.3106000000000097,AC,2009.0
amburana acreana,VU,VU,,,VU,7210.486100000000003862,AC,2020.0
buchenavia parvifolia,,VU,,,,1209.3620,PA,2012.0
sloanea froesii,,,,,VU,10,PA,2012.0
apuleia leiocarpa,VU,VU,,VU,VU,43189.8291000000000241,PA,2020.0
hirtella insignis,EN,EN,,,,64.5359999999999998,AC,2007.0
hymenolobium excelsum,VU,VU,,VU,VU,10395.0396,PA,2012.0
aniba rosaeodora,EN,EN,CR,EN,,10.0,AM,2010.0
hymenolobium excelsum,VU,VU,,VU,VU,18115.9031,PA,2011.0
euplassa cantareirae,EN,EN,,,EN,31.1240,PA,2007.0
hymenolobium excelsum,VU,VU,,VU,VU,12456.8861999999999977,PA,2018.0
aldina heterophylla,,,,,VU,2.5980000000000003,RO,2020.0
hymenaea parvifolia,VU,VU,,VU,VU,1639.5064000000000003,PA,2014.0
hymenolobium excelsum,VU,VU,,VU,VU,3226.9210000000000082,AM,2007.0
centrolobium paraense,EN,EN,,EN,EN,342.3669999999999959,AC,2011.0
swietenia macrophylla,VU,VU,CR,VU,VU,1403.6280,AC,2016.0
peltogyne paradoxa,,,,,VU,33.8540000000000002,AP,2013.0
melanoxylon brauna,VU,VU,,,VU,1904.8379,PA,2010.0
eschweilera compressa,EN,EN,,,EN,312.0250,RO,2013.0
mezilaurus itauba,VU,VU,,VU,VU,5107.4749000000000176,AM,2018.0
vouacapoua americana,EN,EN,,EN,EN,371.367,AP,2010.0
vouacapoua americana,EN,EN,,EN,EN,143.097,AP,2012.0
hymenolobium excelsum,VU,VU,,VU,VU,7009.212,MT,2012.0
bertholletia excelsa,VU,VU,,VU,VU,2584.8477,PA,2010.0
amburana acreana,VU,VU,,,VU,2903.7837000000000128,AC,2015.0
erisma fuscum,,,,,EN,340.3774,AM,2018.0
cedrela odorata,VU,VU,VU,VU,VU,8516.9245999999999951,PA,2020.0
euxylophora paraensis,CR,CR,,CR,EN,2.921,RO,2012.0
amburana acreana,VU,VU,,,VU,20.837,RO,2007.0
vouacapoua americana,EN,EN,,EN,EN,21376.8333,PA,2007.0
eschweilera compressa,EN,EN,,,EN,268.31,AM,2018.0
ocotea odorifera,EN,EN,,EN,EN,20.856,RO,2014.0
vochysia eximia,,,,,VU,80.0000,PA,2013.0
peltogyne paradoxa,,,,,VU,18.0,AC,2008.0
