"nome_cientifico","listavermelha","port443","inmma2014","port561","portmma_148_2022","volume","uf","ano"
vouacapoua americana,EN,EN,,EN,EN,22694.9503,PA,2009.0
euxylophora paraensis,CR,CR,,CR,EN,304.9829,PA,2016.0
hymenaea parvifolia,VU,VU,,VU,VU,256.349,MT,2006.0
mezilaurus itauba,VU,VU,,VU,VU,4185.0779,RO,2017.0
cariniana legalis,EN,EN,,EN,EN,6.007,RR,2010.0
hymenaea parvifolia,VU,VU,,VU,VU,2000.7544000000000010,AM,2019.0
peltogyne paradoxa,,,,,VU,333.5264,PA,2010.0
apuleia leiocarpa,VU,VU,,VU,VU,145337.1182000000000001,MT,2018.0
euxylophora paraensis,CR,CR,,CR,EN,2.9331,AM,2017.0
mezilaurus itauba,VU,VU,,VU,VU,534.8541999999999956,AP,2010.0
euxylophora paraensis,CR,CR,,CR,EN,43.37,RR,2012.0
apuleia leiocarpa,VU,VU,,VU,VU,12385.7646,RO,2013.0
peltogyne paradoxa,,,,,VU,746.6239,PA,2012.0
cedrela odorata,VU,VU,VU,VU,VU,25.0,RR,2013.0
hymenolobium excelsum,VU,VU,,VU,VU,2058.75099999999999715,AM,2009.0
mezilaurus itauba,VU,VU,,VU,VU,6469.11919999999998444,AM,2011.0
dimorphandra wilsonii,CR,CR,,,EN,15.1290,PA,2013.0
swietenia macrophylla,VU,VU,CR,VU,VU,481.669,AC,2013.0
qualea magna,EN,EN,,,EN,145.5956,MT,2017.0
euxylophora paraensis,CR,CR,,CR,EN,25.86,AC,2012.0
eriotheca longipedicellata,,,,,VU,1982.3800,PA,2014.0
vochysia eximia,,,,,VU,411.3350,PA,2015.0
buchenavia parvifolia,,VU,,,,713.59,PA,2007.0
peltogyne paradoxa,,,,,VU,715.7876,PA,2015.0
erisma fuscum,,,,,EN,574.2056,RO,2011.0
amburana acreana,VU,VU,,,VU,91.841,AM,2014.0
mezilaurus itauba,VU,VU,,VU,VU,156456.9649000000000011,MT,2019.0
euxylophora paraensis,CR,CR,,CR,EN,1.254,MT,2019.0
hymenolobium excelsum,VU,VU,,VU,VU,204.854,RO,2007.0
ocotea fragrantissima,,,,,EN,2344.550600000000002,PA,2020.0
hymenaea parvifolia,VU,VU,,VU,VU,93.1792,PA,2008.0
euplassa incana,VU,VU,,,,97.9617,PA,2017.0
mezilaurus itauba,VU,VU,,VU,VU,41.108,RR,2009.0
cedrela odorata,VU,VU,VU,VU,VU,106.16,RO,2006.0
virola surinamensis,VU,VU,,VU,VU,355.85300000000001,AP,2016.0
mezilaurus itauba,VU,VU,,VU,VU,527.4599999999999953,AC,2013.0
mezilaurus itauba,VU,VU,,VU,VU,138.5830000000000040,AC,2007.0
euxylophora paraensis,CR,CR,,CR,EN,277.5433,PA,2019.0
swietenia macrophylla,VU,VU,CR,VU,VU,13.6790,AP,2015.0
virola malmei,,,,,VU,10.00,PA,2007.0
amburana acreana,VU,VU,,,VU,6086.20099999999998849,AC,2007.0
amburana acreana,VU,VU,,,VU,18256.355099999999998,MT,2017.0
cariniana legalis,EN,EN,,EN,EN,4.4109,RR,2009.0
mezilaurus itauba,VU,VU,,VU,VU,238007.1252,MT,2009.0
terminalia acuminata,EN,EN,,,EN,1418.30,PA,2008.0
eschweilera compressa,EN,EN,,,EN,79.4225,RO,2012.0
pterodon apparicioi,,,,,EN,571.000,MT,2006.0
mezilaurus itauba,VU,VU,,VU,VU,222014.9167,MT,2010.0
erisma fuscum,,,,,EN,40.2,AP,2010.0
paratecoma peroba,EN,EN,,EN,EN,3.02,AP,2009.0
euxylophora paraensis,CR,CR,,CR,EN,92.3381,AM,2010.0
cariniana legalis,EN,EN,,EN,EN,164.1592,PA,2018.0
swietenia macrophylla,VU,VU,CR,VU,VU,328.4667000000000007,AM,2020.0
mezilaurus itauba,VU,VU,,VU,VU,503.2903999999999999,AP,2018.0
xylopia brasiliensis,,,,,VU,52.2580000000000003,RO,2015.0
lafoensia glyptocarpa,,,,,EN,645.5062,MT,2018.0
peltogyne paradoxa,,,,,VU,3722.6229999999999991,PA,2019.0
swietenia macrophylla,VU,VU,CR,VU,VU,482.2166,AM,2017.0
cedrela fissilis,VU,VU,VU,VU,VU,6,MT,2013.0
mezilaurus itauba,VU,VU,,VU,VU,184761.578100000000004,MT,2017.0
hymenolobium excelsum,VU,VU,,VU,VU,21121.323199999999998,MT,2020.0
erisma fuscum,,,,,EN,13.295,AP,2015.0
centrolobium paraense,EN,EN,,EN,EN,565.7457,AM,2016.0
hymenolobium excelsum,VU,VU,,VU,VU,39.3851,AP,2009.0
cedrela fissilis,VU,VU,VU,VU,VU,1528.525,MT,2006.0
aniba rosaeodora,EN,EN,CR,EN,,1748.466000000000003,AM,2007.0
vouacapoua americana,EN,EN,,EN,EN,603.1847999999999999,PA,2017.0
hymenaea parvifolia,VU,VU,,VU,VU,31.837,RR,2015.0
buchenavia parvifolia,,VU,,,,757.1726999999999997,PA,2016.0
euplassa cantareirae,EN,EN,,,EN,77.3870,PA,2017.0
qualea coerulea,VU,VU,,,EN,3.5935,PA,2018.0
mezilaurus itauba,VU,VU,,VU,VU,1893.1315999999999936,RO,2019.0
hymenaea parvifolia,VU,VU,,VU,VU,3001.1502000000000005,PA,2015.0
ocotea fragrantissima,,,,,EN,2.406,RR,2018.0
cedrela odorata,VU,VU,VU,VU,VU,7652.5552000000000370,AM,2019.0
hymenaea parvifolia,VU,VU,,VU,VU,3372.408,MT,2018.0
ocotea odorata,,,,,EN,5.4782,PA,2018.0
amburana acreana,VU,VU,,,VU,29646.383199999999998,MT,2007.0
mezilaurus itauba,VU,VU,,VU,VU,114.975,RR,2014.0
qualea magna,EN,EN,,,EN,1363.637,MT,2008.0
mezilaurus itauba,VU,VU,,VU,VU,189217.8166999999999999,MT,2014.0
cedrela odorata,VU,VU,VU,VU,VU,5655.52180000000000808,AC,2009.0
amburana acreana,VU,VU,,,VU,3869.5299999999999849,AM,2019.0
ocotea fragrantissima,,,,,EN,84.3347,RO,2012.0
mezilaurus itauba,VU,VU,,VU,VU,29813.7546999999999936,PA,2016.0
apuleia leiocarpa,VU,VU,,VU,VU,7.1689999999999995,AP,2011.0
vouacapoua americana,EN,EN,,EN,EN,45079.99440000000000033,PA,2011.0
eriotheca longipedicellata,,,,,VU,546.7486000000000015,AC,2017.0
apuleia leiocarpa,VU,VU,,VU,VU,902.830700000000003,AM,2018.0
vochysia eximia,,,,,VU,3299.6245,PA,2017.0
hymenolobium excelsum,VU,VU,,VU,VU,632.5320000000000038,AC,2012.0
cedrela odorata,VU,VU,VU,VU,VU,58.989,RR,2012.0
amburana acreana,VU,VU,,,VU,30116.505600000000003,MT,2015.0
cedrela odorata,VU,VU,VU,VU,VU,6846.53649999999999756,AC,2008.0
pterodon apparicioi,,,,,EN,29.98,RO,2020.0
eriotheca longipedicellata,,,,,VU,72.122,RO,2011.0
swietenia macrophylla,VU,VU,CR,VU,VU,4.1786,AC,2020.0
swietenia macrophylla,VU,VU,CR,VU,VU,8.9318,PA,2013.0
hymenaea parvifolia,VU,VU,,VU,VU,2361.600400000000001,AM,2011.0
eschweilera compressa,EN,EN,,,EN,766.393599999999998,AM,2014.0
mezilaurus itauba,VU,VU,,VU,VU,130.270000000000000,AP,2015.0
hymenolobium excelsum,VU,VU,,VU,VU,397.117000000000005,RR,2015.0
hymenaea parvifolia,VU,VU,,VU,VU,2482.5596000000000040,AM,2018.0
paratecoma peroba,EN,EN,,EN,EN,27.562,RR,2008.0
hymenolobium excelsum,VU,VU,,VU,VU,19740.9833000000000001,PA,2014.0
pterodon apparicioi,,,,,EN,4.382,RO,2015.0
cariniana legalis,EN,EN,,EN,EN,164.0120,RO,2014.0
hymenaea parvifolia,VU,VU,,VU,VU,2143.2722,RO,2016.0
cedrela odorata,VU,VU,VU,VU,VU,5286.7952000000000006,PA,2016.0
apuleia leiocarpa,VU,VU,,VU,VU,4205.5687000000000031,AM,2017.0
hymenolobium excelsum,VU,VU,,VU,VU,30.204,AP,2016.0
cedrela lilloi,EN,EN,VU,,,61.3247,PA,2017.0
cedrela odorata,VU,VU,VU,VU,VU,8101.99570000000000989,AC,2012.0
swietenia macrophylla,VU,VU,CR,VU,VU,2484.5656,PA,2020.0
cedrela fissilis,VU,VU,VU,VU,VU,0.579,AC,2010.0
mezilaurus itauba,VU,VU,,VU,VU,20295.0460,PA,2007.0
vouacapoua americana,EN,EN,,EN,EN,92.541000000000002,AP,2016.0
cariniana legalis,EN,EN,,EN,EN,5642.6864,MT,2015.0
hymenolobium excelsum,VU,VU,,VU,VU,13380.2062,PA,2013.0
mezilaurus itauba,VU,VU,,VU,VU,112.148700000000002,AC,2020.0
aniba rosaeodora,EN,EN,CR,EN,,877.118000000000001,AM,2008.0
apuleia leiocarpa,VU,VU,,VU,VU,70.00,AM,2010.0
peltogyne paradoxa,,,,,VU,1858.397000000000004,AM,2017.0
amburana acreana,VU,VU,,,VU,8509.0621,RO,2013.0
qualea labouriauana,,,,,VU,62.5632,RO,2016.0
mezilaurus itauba,VU,VU,,VU,VU,5674.1970,RO,2016.0
cedrela odorata,VU,VU,VU,VU,VU,10435.2755,PA,2012.0
zeyheria tuberculosa,VU,VU,,VU,,5.475,RO,2014.0
euxylophora paraensis,CR,CR,,CR,EN,9.0,AM,2007.0
hymenaea parvifolia,VU,VU,,VU,VU,1658.5717,RO,2011.0
qualea coerulea,VU,VU,,,EN,531.7173,PA,2017.0
